Quarter,Net Energy Generation in thousands of Kilowatt Hours,State
Q4 2019,1620.80112,AK
Q3 2019,1818.05331,AK
Q2 2019,1400.04956,AK
Q1 2019,1501.46932,AK
Q4 2018,1482.65055,AK
Q3 2018,1508.92447,AK
Q2 2018,1548.48572,AK
Q1 2018,1707.29778,AK
Q4 2017,1598.60115,AK
Q3 2017,1534.47259,AK
Q2 2017,1604.99277,AK
Q1 2017,1759.39911,AK
Q4 2016,1719.0319,AK
Q3 2016,1511.18855,AK
Q2 2016,1384.40977,AK
Q1 2016,1720.40329,AK
Q4 2015,1643.99841,AK
Q3 2015,1419.43746,AK
Q2 2015,1485.42005,AK
Q1 2015,1736.08141,AK
Q4 2014,1586.16933,AK
Q3 2014,1400.62491,AK
Q2 2014,1431.72676,AK
Q1 2014,1624.30863,AK
Q4 2013,1782.98326,AK
Q3 2013,1500.69009,AK
Q2 2013,1480.45282,AK
Q1 2013,1732.69548,AK
Q4 2012,1866.99984,AK
Q3 2012,1553.1551,AK
Q2 2012,1560.60938,AK
Q1 2012,1965.6545,AK
Q4 2011,1878.29083,AK
Q3 2011,1516.10756,AK
Q2 2011,1547.5569,AK
Q1 2011,1929.07751,AK
Q4 2010,1798.48514,AK
Q3 2010,1526.26294,AK
Q2 2010,1598.27973,AK
Q1 2010,1836.54789,AK
Q4 2009,1911.1539,AK
Q3 2009,1483.08599,AK
Q2 2009,1512.91351,AK
Q1 2009,1795.006,AK
Q4 2008,1836.6816,AK
Q3 2008,1518.69766,AK
Q2 2008,1528.71778,AK
Q1 2008,1890.73733,AK
Q4 2007,1822.07133,AK
Q3 2007,1607.13734,AK
Q2 2007,1582.13932,AK
Q1 2007,1810.04364,AK
Q4 2006,1774.88446,AK
Q3 2006,1590.77936,AK
Q2 2006,1568.84004,AK
Q1 2006,1739.69292,AK
Q4 2005,1772.11503,AK
Q3 2005,1629.42059,AK
Q2 2005,1486.43679,AK
Q1 2005,1688.68614,AK
Q4 2004,1671.69074,AK
Q3 2004,1630.30467,AK
Q2 2004,1479.16123,AK
Q1 2004,1745.56022,AK
Q4 2003,1738.18,AK
Q3 2003,1466.436,AK
Q2 2003,1427.147,AK
Q1 2003,1706.968,AK
Q4 2002,1812.088,AK
Q3 2002,1578.574,AK
Q2 2002,1594.302,AK
Q1 2002,1782.358,AK
Q4 2001,1778.063,AK
Q3 2001,1780.887,AK
Q2 2001,1461.389,AK
Q1 2001,1723.427,AK
Q4 2019,33617.5749,AL
Q3 2019,39469.54099,AL
Q2 2019,34214.14325,AL
Q1 2019,34394.93154,AL
Q4 2018,32838.14315,AL
Q3 2018,40964.80666,AL
Q2 2018,37009.62463,AL
Q1 2018,34245.41943,AL
Q4 2017,33803.64445,AL
Q3 2017,38957.85795,AL
Q2 2017,35230.11919,AL
Q1 2017,31972.62853,AL
Q4 2016,32811.56388,AL
Q3 2016,40915.04692,AL
Q2 2016,33223.48031,AL
Q1 2016,35435.00712,AL
Q4 2015,36471.06661,AL
Q3 2015,42097.26754,AL
Q2 2015,36417.33576,AL
Q1 2015,37491.7568,AL
Q4 2014,35782.7199,AL
Q3 2014,39830.24185,AL
Q2 2014,36377.50413,AL
Q1 2014,37349.98121,AL
Q4 2013,36745.80434,AL
Q3 2013,40366.46023,AL
Q2 2013,35763.43269,AL
Q1 2013,37697.2266,AL
Q4 2012,35829.41918,AL
Q3 2012,43653.88579,AL
Q2 2012,36158.93556,AL
Q1 2012,37236.44716,AL
Q4 2011,37510.72597,AL
Q3 2011,44137.25322,AL
Q2 2011,36158.73515,AL
Q1 2011,38532.49548,AL
Q4 2010,35307.24608,AL
Q3 2010,41017.16699,AL
Q2 2010,37603.66326,AL
Q1 2010,38222.43574,AL
Q4 2009,35740.96806,AL
Q3 2009,38571.43007,AL
Q2 2009,33147.14539,AL
Q1 2009,35796.01211,AL
Q4 2008,34108.45961,AL
Q3 2008,40024.67568,AL
Q2 2008,35509.96434,AL
Q1 2008,36226.79557,AL
Q4 2007,33525.84096,AL
Q3 2007,42192.89532,AL
Q2 2007,35295.47745,AL
Q1 2007,32812.05709,AL
Q4 2006,34824.8232,AL
Q3 2006,40173.95894,AL
Q2 2006,34773.31918,AL
Q1 2006,31123.33999,AL
Q4 2005,32643.07838,AL
Q3 2005,38984.46278,AL
Q2 2005,32630.45681,AL
Q1 2005,33690.58306,AL
Q4 2004,34102.13241,AL
Q3 2004,38387.41668,AL
Q2 2004,32978.85098,AL
Q1 2004,31886.37077,AL
Q4 2003,32402.442,AL
Q3 2003,39400.514,AL
Q2 2003,33215.566,AL
Q1 2003,32468.699,AL
Q4 2002,33523.367,AL
Q3 2002,37561.015,AL
Q2 2002,31488.628,AL
Q1 2002,30347.665,AL
Q4 2001,30525.935,AL
Q3 2001,35618.737,AL
Q2 2001,28933.315,AL
Q1 2001,30267.126,AL
Q4 2019,32976.12832,NY
Q3 2019,38221.46858,NY
Q2 2019,30301.73728,NY
Q1 2019,31181.7076,NY
Q4 2018,32855.22324,NY
Q3 2018,37682.06003,NY
Q2 2018,30725.00291,NY
Q1 2018,31258.21466,NY
Q4 2017,31878.39504,NY
Q3 2017,35932.3993,NY
Q2 2017,30134.19852,NY
Q1 2017,30120.08898,NY
Q4 2016,31296.83569,NY
Q3 2016,39495.556,NY
Q2 2016,31530.19301,NY
Q1 2016,32094.52267,NY
Q4 2015,33089.34901,NY
Q3 2015,38858.12631,NY
Q2 2015,32617.56078,NY
Q1 2015,34062.68446,NY
Q4 2014,33803.45073,NY
Q3 2014,36158.14137,NY
Q2 2014,32048.27804,NY
Q1 2014,35112.332,NY
Q4 2013,33143.73117,NY
Q3 2013,36957.35759,NY
Q2 2013,32390.26551,NY
Q1 2013,33625.4757,NY
Q4 2012,32203.3533,NY
Q3 2012,38634.15461,NY
Q2 2012,32473.23175,NY
Q1 2012,32457.50391,NY
Q4 2011,33540.99684,NY
Q3 2011,39104.35432,NY
Q2 2011,32522.63492,NY
Q1 2011,32312.36086,NY
Q4 2010,33257.87479,NY
Q3 2010,39916.91425,NY
Q2 2010,32068.00948,NY
Q1 2010,31718.85511,NY
Q4 2009,32085.55172,NY
Q3 2009,35404.14874,NY
Q2 2009,31567.15108,NY
Q1 2009,34093.69814,NY
Q4 2008,34850.8841,NY
Q3 2008,38450.35134,NY
Q2 2008,32929.20025,NY
Q1 2008,34091.66448,NY
Q4 2007,33537.53534,NY
Q3 2007,40040.54355,NY
Q2 2007,35159.75005,NY
Q1 2007,37140.85851,NY
Q4 2006,33362.29787,NY
Q3 2006,41488.95739,NY
Q2 2006,33490.06107,NY
Q1 2006,33924.11588,NY
Q4 2005,34717.37086,NY
Q3 2005,43096.18606,NY
Q2 2005,34105.63927,NY
Q1 2005,34968.22245,NY
Q4 2004,31981.49788,NY
Q3 2004,36925.95765,NY
Q2 2004,33739.22459,NY
Q1 2004,35318.11354,NY
Q4 2003,33545.498,NY
Q3 2003,37987.199,NY
Q2 2003,31804.01,NY
Q1 2003,34306.607,NY
Q4 2002,33114.194,NY
Q3 2002,40441.856,NY
Q2 2002,33583.218,NY
Q1 2002,32452.418,NY
Q4 2001,33384.563,NY
Q3 2001,39430.381,NY
Q2 2001,34903.279,NY
Q1 2001,36196.333,NY
Q4 2019,27594.57885,OH
Q3 2019,32066.99544,OH
Q2 2019,28164.27149,OH
Q1 2019,31784.35066,OH
Q4 2018,32992.03608,OH
Q3 2018,33028.5535,OH
Q2 2018,27394.63207,OH
Q1 2018,32769.3882,OH
Q4 2017,29648.05256,OH
Q3 2017,31498.71341,OH
Q2 2017,28495.56712,OH
Q1 2017,29912.03254,OH
Q4 2016,29098.24072,OH
Q3 2016,35033.00262,OH
Q2 2016,26272.4438,OH
Q1 2016,28518.39045,OH
Q4 2015,25343.50333,OH
Q3 2015,33706.03016,OH
Q2 2015,26708.3256,OH
Q1 2015,36135.54238,OH
Q4 2014,30617.86268,OH
Q3 2014,35587.22842,OH
Q2 2014,30805.24555,OH
Q1 2014,37466.06835,OH
Q4 2013,34239.71237,OH
Q3 2013,35970.04835,OH
Q2 2013,32032.85756,OH
Q1 2013,35041.5704,OH
Q4 2012,30047.66888,OH
Q3 2012,36360.18374,OH
Q2 2012,30718.78413,OH
Q1 2012,32619.09387,OH
Q4 2011,28176.12966,OH
Q3 2011,39819.63627,OH
Q2 2011,30839.77285,OH
Q1 2011,36750.2657,OH
Q4 2010,35002.76201,OH
Q3 2010,40210.96316,OH
Q2 2010,32924.80938,OH
Q1 2010,35459.80218,OH
Q4 2009,34919.2991,OH
Q3 2009,36242.06366,OH
Q2 2009,29757.10428,OH
Q1 2009,35171.7582,OH
Q4 2008,37448.86966,OH
Q3 2008,39500.78921,OH
Q2 2008,36676.42928,OH
Q1 2008,39786.16295,OH
Q4 2007,39167.42102,OH
Q3 2007,42976.79134,OH
Q2 2007,35168.96674,OH
Q1 2007,37842.36626,OH
Q4 2006,39337.58228,OH
Q3 2006,42111.17101,OH
Q2 2006,35883.19781,OH
Q1 2006,38102.1241,OH
Q4 2005,40432.35354,OH
Q3 2005,43259.73998,OH
Q2 2005,35315.01062,OH
Q1 2005,37969.21865,OH
Q4 2004,37329.40957,OH
Q3 2004,38387.20706,OH
Q2 2004,36523.91573,OH
Q1 2004,36105.37295,OH
Q4 2003,38097.246,OH
Q3 2003,39107.132,OH
Q2 2003,32497.949,OH
Q1 2003,36935.801,OH
Q4 2002,35741.152,OH
Q3 2002,39334.86,OH
Q2 2002,36031.682,OH
Q1 2002,35961.153,OH
Q4 2001,34433.757,OH
Q3 2001,37622.205,OH
Q2 2001,33773.814,OH
Q1 2001,36432.033,OH
Q4 2019,2546.75009,HI
Q3 2019,2692.17987,HI
Q2 2019,2435.85779,HI
Q1 2019,2195.74999,HI
Q4 2018,2519.95603,HI
Q3 2018,2599.36652,HI
Q2 2018,2394.95483,HI
Q1 2018,2282.49553,HI
Q4 2017,2455.79822,HI
Q3 2017,2563.99421,HI
Q2 2017,2438.39341,HI
Q1 2017,2354.78221,HI
Q4 2016,2505.95333,HI
Q3 2016,2673.58857,HI
Q2 2016,2428.09977,HI
Q1 2016,2341.20338,HI
Q4 2015,2630.70794,HI
Q3 2015,2812.35364,HI
Q2 2015,2439.42852,HI
Q1 2015,2237.01016,HI
Q4 2014,2584.03801,HI
Q3 2014,2736.70524,HI
Q2 2014,2481.206,HI
Q1 2014,2402.209,HI
Q4 2013,2638.45057,HI
Q3 2013,2713.52875,HI
Q2 2013,2531.5867,HI
Q1 2013,2383.48626,HI
Q4 2012,2846.49879,HI
Q3 2012,2617.67646,HI
Q2 2012,2510.82705,HI
Q1 2012,2494.26636,HI
Q4 2011,2693.09322,HI
Q3 2011,2760.45527,HI
Q2 2011,2665.87633,HI
Q1 2011,2603.90811,HI
Q4 2010,2737.64408,HI
Q3 2010,2855.30857,HI
Q2 2010,2687.38981,HI
Q1 2010,2555.69351,HI
Q4 2009,2803.83405,HI
Q3 2009,2922.76893,HI
Q2 2009,2714.273,HI
Q1 2009,2569.6569,HI
Q4 2008,2802.43654,HI
Q3 2008,2950.27859,HI
Q2 2008,2854.05557,HI
Q1 2008,2769.61436,HI
Q4 2007,2868.52116,HI
Q3 2007,3053.28274,HI
Q2 2007,2870.3016,HI
Q1 2007,2741.24407,HI
Q4 2006,2891.27016,HI
Q3 2006,3142.31289,HI
Q2 2006,2847.57049,HI
Q1 2006,2678.02011,HI
Q4 2005,2870.27451,HI
Q3 2005,3203.93507,HI
Q2 2005,2798.45097,HI
Q1 2005,2650.14481,HI
Q4 2004,2889.15813,HI
Q3 2004,3039.75444,HI
Q2 2004,2797.33539,HI
Q1 2004,2684.15463,HI
Q4 2003,2818.091,HI
Q3 2003,2919.394,HI
Q2 2003,2705.621,HI
Q1 2003,2533.265,HI
Q4 2002,2910.331,HI
Q3 2002,3103.961,HI
Q2 2002,2924.232,HI
Q1 2002,2724.549,HI
Q4 2001,2646.165,HI
Q3 2001,2792.574,HI
Q2 2001,2595.619,HI
Q1 2001,2598.734,HI
Q4 2019,896.42551,DE
Q3 2019,2070.20733,DE
Q2 2019,1163.5539,DE
Q1 2019,1013.43996,DE
Q4 2018,1207.81178,DE
Q3 2018,2078.49692,DE
Q2 2018,1407.93845,DE
Q1 2018,1546.39676,DE
Q4 2017,1472.25931,DE
Q3 2017,2445.08482,DE
Q2 2017,2077.05862,DE
Q1 2017,1501.57352,DE
Q4 2016,1727.09874,DE
Q3 2016,3102.25864,DE
Q2 2016,2246.56969,DE
Q1 2016,1655.33349,DE
Q4 2015,1336.5257,DE
Q3 2015,2505.13026,DE
Q2 2015,2310.19668,DE
Q1 2015,1658.15294,DE
Q4 2014,1809.54228,DE
Q3 2014,2379.43644,DE
Q2 2014,1749.13916,DE
Q1 2014,1765.46564,DE
Q4 2013,1767.83501,DE
Q3 2013,2469.54035,DE
Q2 2013,1867.3513,DE
Q1 2013,1656.13435,DE
Q4 2012,1808.05931,DE
Q3 2012,2666.91452,DE
Q2 2012,2403.22716,DE
Q1 2012,1755.49302,DE
Q4 2011,1694.6593,DE
Q3 2011,2102.38601,DE
Q2 2011,1737.58918,DE
Q1 2011,1055.56032,DE
Q4 2010,940.64296,DE
Q3 2010,2062.61217,DE
Q2 2010,1397.10833,DE
Q1 2010,1227.28155,DE
Q4 2009,1324.21311,DE
Q3 2009,1447.13425,DE
Q2 2009,669.61056,DE
Q1 2009,1400.60494,DE
Q4 2008,1636.00728,DE
Q3 2008,2180.22168,DE
Q2 2008,1600.27891,DE
Q1 2008,2107.33077,DE
Q4 2007,2134.51156,DE
Q3 2007,2750.2876,DE
Q2 2007,1758.27745,DE
Q1 2007,1891.08666,DE
Q4 2006,1726.82788,DE
Q3 2006,2096.54018,DE
Q2 2006,1574.78557,DE
Q1 2006,1784.02574,DE
Q4 2005,1758.44079,DE
Q3 2005,2873.94975,DE
Q2 2005,1407.01081,DE
Q1 2005,2097.16672,DE
Q4 2004,1683.67098,DE
Q3 2004,1985.25866,DE
Q2 2004,1916.94721,DE
Q1 2004,2269.67573,DE
Q4 2003,1082.691,DE
Q3 2003,2592.677,DE
Q2 2003,1327.388,DE
Q1 2003,2389.531,DE
Q4 2002,1362.763,DE
Q3 2002,2200.618,DE
Q2 2002,1366.079,DE
Q1 2002,1073.03,DE
Q4 2001,1052.984,DE
Q3 2001,2030.135,DE
Q2 2001,1710.555,DE
Q1 2001,2014.011,DE
Q4 2019,18055.44963,MO
Q3 2019,21143.26795,MO
Q2 2019,16381.36453,MO
Q1 2019,20892.6315,MO
Q4 2018,20258.65559,MO
Q3 2018,23239.15578,MO
Q2 2018,20245.92928,MO
Q1 2018,21351.64301,MO
Q4 2017,18703.66589,MO
Q3 2017,23383.06728,MO
Q2 2017,21307.96826,MO
Q1 2017,21212.02925,MO
Q4 2016,17459.47809,MO
Q3 2016,22962.13098,MO
Q2 2016,18083.53948,MO
Q1 2016,20106.36399,MO
Q4 2015,18538.297,MO
Q3 2015,23853.64805,MO
Q2 2015,19200.88745,MO
Q1 2015,22047.23493,MO
Q4 2014,19483.68943,MO
Q3 2014,23866.22448,MO
Q2 2014,20714.20547,MO
Q1 2014,23770.34884,MO
Q4 2013,22365.61193,MO
Q3 2013,24354.63345,MO
Q2 2013,21634.4302,MO
Q1 2013,23271.91735,MO
Q4 2012,21597.46986,MO
Q3 2012,26281.55733,MO
Q2 2012,22043.90746,MO
Q1 2012,21881.38597,MO
Q4 2011,21109.57974,MO
Q3 2011,25907.79216,MO
Q2 2011,23348.02109,MO
Q1 2011,24511.00372,MO
Q4 2010,22733.50529,MO
Q3 2010,25327.76786,MO
Q2 2010,21553.65051,MO
Q1 2010,22698.06577,MO
Q4 2009,22270.43151,MO
Q3 2009,23273.92027,MO
Q2 2009,21337.92726,MO
Q1 2009,21471.99258,MO
Q4 2008,20301.09544,MO
Q3 2008,25266.9827,MO
Q2 2008,22496.99452,MO
Q1 2008,22963.72275,MO
Q4 2007,22082.23454,MO
Q3 2007,25664.19973,MO
Q2 2007,21281.66666,MO
Q1 2007,22124.98022,MO
Q4 2006,22387.67798,MO
Q3 2006,25212.09075,MO
Q2 2006,21597.21139,MO
Q1 2006,22489.3628,MO
Q4 2005,21034.13255,MO
Q3 2005,24298.5145,MO
Q2 2005,22487.44525,MO
Q1 2005,23008.13815,MO
Q4 2004,21744.56424,MO
Q3 2004,24226.41436,MO
Q2 2004,20031.19924,MO
Q1 2004,21630.73252,MO
Q4 2003,21428.494,MO
Q3 2003,24353.517,MO
Q2 2003,19747.4,MO
Q1 2003,21695.676,MO
Q4 2002,20044.813,MO
Q3 2002,23407.512,MO
Q2 2002,19480.362,MO
Q1 2002,18229.509,MO
Q4 2001,20003.109,MO
Q3 2001,22944.457,MO
Q2 2001,17370.371,MO
Q1 2001,19226.935,MO
Q4 2019,15159.54421,WI
Q3 2019,17515.46396,WI
Q2 2019,14133.90914,WI
Q1 2019,15942.17555,WI
Q4 2018,16122.25877,WI
Q3 2018,18439.44549,WI
Q2 2018,14370.66695,WI
Q1 2018,17004.43221,WI
Q4 2017,17349.55317,WI
Q3 2017,18120.24762,WI
Q2 2017,13634.70068,WI
Q1 2017,16002.83126,WI
Q4 2016,14759.87847,WI
Q3 2016,19138.11445,WI
Q2 2016,15178.41621,WI
Q1 2016,15890.20202,WI
Q4 2015,15500.6063,WI
Q3 2015,18559.74884,WI
Q2 2015,15241.19667,WI
Q1 2015,17058.63143,WI
Q4 2014,14423.49018,WI
Q3 2014,16238.85589,WI
Q2 2014,14325.3498,WI
Q1 2014,16077.09982,WI
Q4 2013,15880.64166,WI
Q3 2013,17783.52267,WI
Q2 2013,15622.91198,WI
Q1 2013,16675.71549,WI
Q4 2012,15046.65866,WI
Q3 2012,18772.75899,WI
Q2 2012,15013.11027,WI
Q1 2012,14918.40996,WI
Q4 2011,14897.90345,WI
Q3 2011,18583.11466,WI
Q2 2011,14097.30013,WI
Q1 2011,15711.02554,WI
Q4 2010,15114.57847,WI
Q3 2010,17749.7435,WI
Q2 2010,15984.62275,WI
Q1 2010,15465.12239,WI
Q4 2009,15535.94032,WI
Q3 2009,15438.8426,WI
Q2 2009,13504.69432,WI
Q1 2009,15479.58319,WI
Q4 2008,15846.36381,WI
Q3 2008,17713.41159,WI
Q2 2008,13970.58361,WI
Q1 2008,15949.19593,WI
Q4 2007,15701.67978,WI
Q3 2007,17118.02149,WI
Q2 2007,15190.76858,WI
Q1 2007,15380.15986,WI
Q4 2006,14274.66324,WI
Q3 2006,16922.05052,WI
Q2 2006,15180.71849,WI
Q1 2006,15262.41122,WI
Q4 2005,15146.34163,WI
Q3 2005,17550.92408,WI
Q2 2005,14304.43888,WI
Q1 2005,14822.959,WI
Q4 2004,15279.21486,WI
Q3 2004,16118.59407,WI
Q2 2004,13611.27843,WI
Q1 2004,15435.84606,WI
Q4 2003,15176.366,WI
Q3 2003,16410.373,WI
Q2 2003,13767.568,WI
Q1 2003,14768.117,WI
Q4 2002,14552.05,WI
Q3 2002,16433.34,WI
Q2 2002,13959.683,WI
Q1 2002,13486.364,WI
Q4 2001,14020.812,WI
Q3 2001,15966.806,WI
Q2 2001,14063.412,WI
Q1 2001,14712.404,WI
Q4 2019,6733.76214,MT
Q3 2019,7022.36249,MT
Q2 2019,5848.97328,MT
Q1 2019,7636.36672,MT
Q4 2018,7539.65588,MT
Q3 2018,6680.85628,MT
Q2 2018,6312.30289,MT
Q1 2018,7680.01596,MT
Q4 2017,7474.98007,MT
Q3 2017,7843.38578,MT
Q2 2017,5884.81724,MT
Q1 2017,7017.76291,MT
Q4 2016,7845.14732,MT
Q3 2016,7030.47754,MT
Q2 2016,6376.86151,MT
Q1 2016,6531.04288,MT
Q4 2015,7317.24477,MT
Q3 2015,6922.20588,MT
Q2 2015,7631.77117,MT
Q1 2015,7431.17903,MT
Q4 2014,8005.37251,MT
Q3 2014,7901.28551,MT
Q2 2014,7513.81985,MT
Q1 2014,6837.1382,MT
Q4 2013,6326.13345,MT
Q3 2013,6162.7024,MT
Q2 2013,7589.30349,MT
Q1 2013,7609.18696,MT
Q4 2012,7920.72681,MT
Q3 2012,7131.00817,MT
Q2 2012,5965.43515,MT
Q1 2012,6787.61231,MT
Q4 2011,8099.91726,MT
Q3 2011,8104.4099,MT
Q2 2011,6452.91769,MT
Q1 2011,7471.29774,MT
Q4 2010,7500.20563,MT
Q3 2010,7958.77567,MT
Q2 2010,7381.00871,MT
Q1 2010,6951.19056,MT
Q4 2009,7108.94691,MT
Q3 2009,6045.8694,MT
Q2 2009,6356.98643,MT
Q1 2009,7200.93253,MT
Q4 2008,7511.5823,MT
Q3 2008,7651.93475,MT
Q2 2008,7432.68507,MT
Q1 2008,7040.93488,MT
Q4 2007,6963.24705,MT
Q3 2007,7425.39328,MT
Q2 2007,7477.2621,MT
Q1 2007,7065.59061,MT
Q4 2006,6915.2407,MT
Q3 2006,7213.57974,MT
Q2 2006,7207.28419,MT
Q1 2006,6907.43178,MT
Q4 2005,6933.57449,MT
Q3 2005,7388.4603,MT
Q2 2005,7505.40321,MT
Q1 2005,6111.33975,MT
Q4 2004,7022.11002,MT
Q3 2004,7073.75824,MT
Q2 2004,6088.70447,MT
Q1 2004,6604.19492,MT
Q4 2003,6530.412,MT
Q3 2003,7171.5,MT
Q2 2003,6521.003,MT
Q1 2003,6045.811,MT
Q4 2002,6052.557,MT
Q3 2002,6886.393,MT
Q2 2002,6557.661,MT
Q1 2002,5977.095,MT
Q4 2001,6388.494,MT
Q3 2001,6328.141,MT
Q2 2001,5189.139,MT
Q1 2001,6326.713,MT
Q4 2019,187720.7361,SAT
Q3 2019,237323.4685,SAT
Q2 2019,200859.0976,SAT
Q1 2019,185586.0869,SAT
Q4 2018,193631.9342,SAT
Q3 2018,232932.4758,SAT
Q2 2018,198847.2756,SAT
Q1 2018,194581.0749,SAT
Q4 2017,187984.161,SAT
Q3 2017,225122.9033,SAT
Q2 2017,197701.5065,SAT
Q1 2017,182050.3925,SAT
Q4 2016,183272.6139,SAT
Q3 2016,239877.798,SAT
Q2 2016,198852.8759,SAT
Q1 2016,191876.4636,SAT
Q4 2015,175073.0368,SAT
Q3 2015,222864.714,SAT
Q2 2015,197257.0225,SAT
Q1 2015,196892.5753,SAT
Q4 2014,180659.8374,SAT
Q3 2014,212488.0684,SAT
Q2 2014,191002.3414,SAT
Q1 2014,200806.83,SAT
Q4 2013,183367.6038,SAT
Q3 2013,213785.3687,SAT
Q2 2013,183559.7446,SAT
Q1 2013,180263.2856,SAT
Q4 2012,175096.1368,SAT
Q3 2012,215704.5351,SAT
Q2 2012,185548.5125,SAT
Q1 2012,171158.6245,SAT
Q4 2011,165850.2615,SAT
Q3 2011,220484.2739,SAT
Q2 2011,194031.1953,SAT
Q1 2011,181920.2262,SAT
Q4 2010,181924.4299,SAT
Q3 2010,228215.2819,SAT
Q2 2010,196823.0213,SAT
Q1 2010,195731.9291,SAT
Q4 2009,179297.2483,SAT
Q3 2009,208426.1719,SAT
Q2 2009,183152.2971,SAT
Q1 2009,183824.3307,SAT
Q4 2008,180581.6824,SAT
Q3 2008,222913.9245,SAT
Q2 2008,198254.4273,SAT
Q1 2008,199035.9825,SAT
Q4 2007,197362.3319,SAT
Q3 2007,239349.9854,SAT
Q2 2007,202057.4387,SAT
Q1 2007,196419.8591,SAT
Q4 2006,185185.4799,SAT
Q3 2006,233351.3133,SAT
Q2 2006,199202.6273,SAT
Q1 2006,191610.6655,SAT
Q4 2005,194669.9419,SAT
Q3 2005,242882.5287,SAT
Q2 2005,192811.2297,SAT
Q1 2005,192417.3862,SAT
Q4 2004,186642.1106,SAT
Q3 2004,218443.3241,SAT
Q2 2004,196359.2073,SAT
Q1 2004,196350.2975,SAT
Q4 2003,184986.818,SAT
Q3 2003,218510.362,SAT
Q2 2003,189701.039,SAT
Q1 2003,194575.265,SAT
Q4 2002,187191.082,SAT
Q3 2002,220886.617,SAT
Q2 2002,189455.143,SAT
Q1 2002,177674.636,SAT
Q4 2001,161461.487,SAT
Q3 2001,205061.19,SAT
Q2 2001,181059.637,SAT
Q1 2001,180269.397,SAT
Q4 2019,25905.07031,WA
Q3 2019,26595.97953,WA
Q2 2019,27194.05822,WA
Q1 2019,26023.39489,WA
Q4 2018,23649.7731,WA
Q3 2018,29163.59361,WA
Q2 2018,32302.99734,WA
Q1 2018,31640.36455,WA
Q4 2017,26426.79203,WA
Q3 2017,28060.75597,WA
Q2 2017,31366.20986,WA
Q1 2017,30058.31976,WA
Q4 2016,27872.09803,WA
Q3 2016,27236.51473,WA
Q2 2016,30408.68534,WA
Q1 2016,28569.28415,WA
Q4 2015,26871.42335,WA
Q3 2015,26797.24282,WA
Q2 2015,24941.63552,WA
Q1 2015,30677.15622,WA
Q4 2014,26922.19974,WA
Q3 2014,29257.48288,WA
Q2 2014,32371.87412,WA
Q1 2014,27782.80577,WA
Q4 2013,27216.63063,WA
Q3 2013,29563.63474,WA
Q2 2013,30295.26325,WA
Q1 2013,27097.38762,WA
Q4 2012,26531.46302,WA
Q3 2012,30241.1648,WA
Q2 2012,33224.19003,WA
Q1 2012,26838.65558,WA
Q4 2011,26227.6304,WA
Q3 2011,28310.76028,WA
Q2 2011,30300.46214,WA
Q1 2011,30423.748,WA
Q4 2010,25337.73359,WA
Q3 2010,27012.23091,WA
Q2 2010,27914.59995,WA
Q1 2010,23208.16453,WA
Q4 2009,25122.25358,WA
Q3 2009,25083.63513,WA
Q2 2009,28317.08183,WA
Q1 2009,25947.16207,WA
Q4 2008,24535.03747,WA
Q3 2008,27505.36403,WA
Q2 2008,31926.33023,WA
Q1 2008,26861.71931,WA
Q4 2007,24660.92368,WA
Q3 2007,25898.65174,WA
Q2 2007,28981.3428,WA
Q1 2007,27449.29834,WA
Q4 2006,24812.18598,WA
Q3 2006,25225.36753,WA
Q2 2006,31258.33566,WA
Q1 2006,26907.26616,WA
Q4 2005,25066.09085,WA
Q3 2005,25774.70669,WA
Q2 2005,24923.27377,WA
Q1 2005,26201.77901,WA
Q4 2004,26279.96963,WA
Q3 2004,24796.56643,WA
Q2 2004,26135.91866,WA
Q1 2004,24952.59741,WA
Q4 2003,25336.499,WA
Q3 2003,23568.429,WA
Q2 2003,26928.58,WA
Q1 2003,24261.183,WA
Q4 2002,23633.389,WA
Q3 2002,25463.021,WA
Q2 2002,28853.242,WA
Q1 2002,24815.396,WA
Q4 2001,21352.099,WA
Q3 2001,19375.801,WA
Q2 2001,19138.788,WA
Q1 2001,23181.982,WA
Q4 2019,43839.75961,IL
Q3 2019,47537.11919,IL
Q2 2019,43018.11841,IL
Q1 2019,47085.4081,IL
Q4 2018,45162.61042,IL
Q3 2018,50170.83962,IL
Q2 2018,44471.46464,IL
Q1 2018,48198.44209,IL
Q4 2017,46806.25017,IL
Q3 2017,47530.60697,IL
Q2 2017,44074.65904,IL
Q1 2017,45180.05458,IL
Q4 2016,45694.67752,IL
Q3 2016,51666.2681,IL
Q2 2016,44284.0683,IL
Q1 2016,45644.11704,IL
Q4 2015,46611.34121,IL
Q3 2015,51086.17409,IL
Q2 2015,46203.76441,IL
Q1 2015,50050.76032,IL
Q4 2014,51437.10694,IL
Q3 2014,51110.99698,IL
Q2 2014,46942.87505,IL
Q1 2014,52652.89901,IL
Q4 2013,51191.33539,IL
Q3 2013,52492.67711,IL
Q2 2013,47414.38189,IL
Q1 2013,51906.5251,IL
Q4 2012,49066.54203,IL
Q3 2012,51778.1854,IL
Q2 2012,47799.41149,IL
Q1 2012,48921.2227,IL
Q4 2011,49267.30416,IL
Q3 2011,53312.56962,IL
Q2 2011,46877.115,IL
Q1 2011,50042.73927,IL
Q4 2010,50513.82304,IL
Q3 2010,53754.43516,IL
Q2 2010,46919.1494,IL
Q1 2010,50164.46404,IL
Q4 2009,49023.01523,IL
